PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2WhL6,4r1k1/5p1p/6p1/pp6/8/2Q2B2/PPPNbqPP/4R2K w - - 6 32,e1e2 f2e1 e2e1 e8e1 d2f1 e1f1,1980,77,88,2416,backRankMate endgame long mate mateIn3 sacrifice xRayAttack,https://lichess.org/2spCDzbr#63,
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,819,119,69,265,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
002bK,8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42,c6b5 a3b5 c3c2 e2d2,1114,85,93,817,advantage endgame hangingPiece short,https://lichess.org/IFGj8W5s/black#84,
0071K,3N1r2/6R1/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 w - - 0 38,g7a7 a6a7 h5h7 a7a6,1133,84,94,434,crushing defensiveMove endgame hangingPiece short,https://lichess.org/gY0ZkxR4#75,
00CYP,3rk2r/p1p2pp1/1p6/2pQ1b2/2Pn1P2/8/PP1P1KBq/R1B1R3 b - - 3 25,e8f8 d5d8,745,87,100,85,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/LywFPEls/black#50,
00FHX,2r3k1/5p1p/4pP2/3p3P/8/5P2/p1b3P1/2R3K1 b - - 0 30,c2b1 c1c8,493,93,85,803,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/rztVgThB/black#60,
00KVb,2k2r2/pp5p/3p4/3Nb1p1/8/1P1P3P/P1Pn4/1K1R1R2 w - - 3 28,d1d2 f8f1 d2d1 f1d1,588,99,75,174,endgame hangingPiece mate mateIn2 pillsburysMate short,https://lichess.org/tzIW1ZLM#55,
00NR5,R5k1/3r2pp/3N4/1nP5/6P1/1P3P2/P2K2n1/8 b - - 1 30,d7d8 a8d8,702,90,100,77,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/nRo0kQGD/black#60,
00X1l,5r1k/Q6p/1pb3p1/4q3/4p3/1BP2p1P/PP4P1/5RK1 b - - 0 30,f3g2 f1f8,848,100,83,371,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/IPGWdtue/black#60,
00dzT,6k1/1Q4p1/p1p4p/3pP3/P3bq2/2N4P/1P4PK/5B2 w - - 1 26,h2h1 f4f1 h1h2 f1g2,936,79,100,293,endgame hangingPiece mate mateIn2 short,https://lichess.org/Kxd5ijdt#51,
00eCY,8/6p1/5p1p/R5kP/2b3P1/1r3PK1/8/8 b - - 4 61,c4d5 a5d5 f6f5 d5f5,777,83,88,491,endgame hangingPiece mate mateIn2 short,https://lichess.org/LXHmo9rD/black#122,
00hbV,8/pk1r1bR1/1p6/8/2P2N2/1P6/1K6/8 b - - 21 60,f7e6 f4e6 d7g7 e6g7,1083,77,96,1666,crushing endgame hangingPiece master short,https://lichess.org/DL4VBFov/black#120,
00i7t,4r2k/p4r1p/2pp1Q2/2p5/3b1P2/3P2R1/PqPB2PP/4RK2 b - - 0 21,d4f6 e1e8 f7f8 e8f8,927,90,84,147,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/fBWee6U4/black#42,
00l3p,3q4/1p6/p4N2/5QPk/4Pn2/2P4r/1P3K2/8 b - - 4 40,h5h4 f5f4,1039,204,100,14,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/Lttk18Li/black#80,
00xa4,2r1k3/2p1rpp1/1p1p1b1p/p2P1P1P/P1P5/3KB3/5PR1/6R1 w - - 1 30,e3h6 g7h6 g2g8 e8d7 g8c8 d7c8,995,76,90,464,advantage endgame hangingPiece long,https://lichess.org/H3LZtXxl#59,
00zxV,rn3k1r/pp2p2p/2p2np1/8/2B5/4q3/PQP3PP/RN3K1R b - - 3 14,f6e4 b2h8,636,87,83,221,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/sGDfLqiU/black#28,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation
0119E,5R1k/4q2p/3Np1bP/4P3/3P2P1/2n5/8/5QK1 b - - 6 45,e7f8 f1f8,474,97,86,1259,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/krqkZh3J/black#90,
0139J,r2q2rk/pp3pbn/2p1b3/3p3P/3P1Q2/2NB1P2/PPP3P1/2KR3R b - - 2 21,g7h6 f4h6 d8g5 h6g5,804,92,52,116,advantage hangingPiece middlegame short,https://lichess.org/Yv8XOEuW/black#42,
01I0q,2k2n1r/prp3pp/8/Q1RP4/2N1Pq2/P7/1P3PPP/5RK1 w - - 3 28,f1c1 f4c1 a5e1 c1e1,586,82,97,556,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/sFXEAJ3W#55,
01LBw,r6r/ppp1kBp1/2np4/4p3/4P1p1/P2P3q/1PPN1P2/R2Q1RK1 w - - 0 17,d1g4 h3g4,727,94,85,337,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/b4KcZaUU#33,Philidor_Defense Philidor_Defense_Other_variations
01PQE,7R/kb6/2pp1p2/4qP2/3pPN2/1QbP4/B1P5/2K5 w - - 1 38,h8h7 e5f4 c1b1 f4f1,1104,151,53,35,hangingPiece master mate mateIn2 middlegame short,https://lichess.org/ZqbSx2nz#75,
01QTc,R1b3k1/4pp1p/3p2p1/2pP4/2P1PP2/2Q2B1P/5qPK/1r6 b - - 9 27,h7h5 a8c8 g8h7 c3h8,778,88,95,703,endgame hangingPiece master mate mateIn2 short,https://lichess.org/YTB6JMoe/black#54,
01YXn,r1bq1rk1/p4pbp/5np1/4p1B1/3p4/2N5/PPPQBPPP/2R2RK1 w - - 0 14,c3e4 f6e4 g5d8 e4d2,966,85,94,1139,crushing hangingPiece middlegame short,https://lichess.org/5LNdfjMW#27,Sicilian_Defense Sicilian_Defense_Dragon_Variation
01i3C,6k1/2p2pp1/4p1np/1R6/3Pb3/2P2NB1/5PPP/r5K1 w - - 1 24,f3e1 a1e1,679,93,74,353,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/30wb4u3H#47,
01lNV,4r1k1/pppq2b1/2bp2pp/5p2/2P1N2N/7P/PP1BQPP1/4R1K1 w - - 0 24,e4f6 g7f6 e2e8 d7e8 e1e8 c6e8,896,78,99,1225,advantage hangingPiece long middlegame,https://lichess.org/518Fxf12#47,
01pz8,4qr2/1p1R4/p2Q2pk/4P2p/3P1n1P/8/PP5K/8 b - - 0 35,e8e6 d6f8,1014,83,90,242,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/fXA8HUls/black#70,
01uDg,1q2nr1k/5p1p/4NP2/p7/5p1Q/4R3/1PP3PP/1K6 b - - 0 32,f4e3 e6f8 e8f6 h4f6,1163,80,94,1225,crushing endgame hangingPiece master short,https://lichess.org/RCNZUXRe/black#64,
01zzO,r4rk1/1p1b1p2/p3p1p1/q2pN2p/5Q1P/2N3R1/nPP2PP1/2K1R3 w - - 0 21,c3a2 a5e1,852,105,50,23,hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/XCISYgA6#41,
0217e,1rb1k2r/b5p1/p2pPp1p/qp1n4/7N/1P6/P4PPP/R1BQR1K1 w k - 0 19,d1d5 a5e1,520,92,86,1170,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/YaZroWoF#37,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
021Lo,r2qk2r/pp2bppp/2n5/3Bp3/6b1/2P2N2/P4PPP/R1BQ1RK1 w kq - 1 13,d5f7 e8f7 f3g5 e7g5,755,86,88,295,crushing hangingPiece middlegame short,https://lichess.org/PXaz6KFQ#25,Sicilian_Defense Sicilian_Defense_Old_Sicilian
021cG,5rk1/2p2p2/ppB1p1p1/4n3/1PP3q1/P1Q4R/5PPP/3R2K1 w - - 1 27,c3e5 g4d1 e5e1 d1e1,659,100,82,405,endgame hangingPiece kingsideAttack mate mateIn2 short,https://lichess.org/EvKDthbj#53,
023oo,r5k1/pp5p/2pN2p1/2P1n3/5Pq1/1P5b/P4RB1/Q5K1 b - - 2 24,a8f8 a1e5 h3g2 f2g2,1099,78,79,580,advantage hangingPiece middlegame short,https://lichess.org/6oHAJVCE/black#48,
025Et,2r3k1/1Q3ppp/8/8/4B3/2q1P3/r3RPPP/4R1K1 w - - 0 24,e2a2 c3e1,679,91,87,503,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/icn5jsCi#47,
026wE,1rbr2k1/ppN2ppp/3p4/4n2q/8/1B4Q1/PPP2PPP/3RR1K1 w - - 3 19,e1e5 h5d1 e5e1 d1e1,827,76,98,1679,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/m3l7FmZx#37,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit
000lC,3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19,d1d6 d7d6 b7b6 a7b6,1394,76,94,4545,advantage hangingPiece middlegame short,https://lichess.org/vaqz2bx6#37,
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1231,99,69,51,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Ek4aENjD/black#68,
005wJ,r3kb1r/ppqn1ppp/4pn2/1Q2Nb2/3P4/8/PP2PPPP/RNB1KB1R w KQkq - 4 9,e5d7 c7c1,1448,78,80,1223,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/2mU9GJhQ#17,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
00B8m,3b4/3P4/pp2Pk2/5r2/P6p/3Q4/8/7K w - - 1 43,d3f5 f6f5 e6e7 d8e7 d7d8q e7d8,1277,136,82,21,crushing endgame hangingPiece long,https://lichess.org/FpH6PRMC#85,
00Cqg,2rr2k1/pp4bp/4qpp1/3Pp3/8/4Q2P/4B1P1/2RR3K b - - 0 26,c8c1 d5e6 d8d1 e2d1 c1d1 h1h2,1606,76,92,809,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/mXY3kzod/black#52,
00Er4,r3k2r/p1bN2pp/2p1pp2/3p3b/3P1q2/2N4P/PPPQ1PP1/R3R1K1 w kq - 0 16,e1e6 e8d7 d2f4 c7f4,1332,75,88,156,crushing hangingPiece middlegame short,https://lichess.org/xukRQ21f#31,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
00IF1,1k6/p1p5/P2p4/3P4/1PK2N1p/4P3/5r2/4B3 b - - 12 57,f2f4 e3f4 h4h3 e1g3,1267,78,92,634,crushing defensiveMove endgame hangingPiece short,https://lichess.org/bX3dAdx9/black#114,
00InW,8/2p5/pp1p4/3PnN2/PPP1Pp2/5P1p/5K1k/8 b - - 3 46,e5f3 f2f3 h2g1 f3f4 h3h2 f5g3,1483,76,93,1178,crushing defensiveMove endgame hangingPiece knightEndgame long,https://lichess.org/CZaimWSp/black#92,
00LI0,r2qk2r/pp1n1ppp/4pn2/3p2B1/1b1P4/2N1QN1P/PPb1BPP1/R4RK1 w kq - 0 12,c3d5 f6d5 g5d8 d5e3,1302,78,83,79,crushing hangingPiece middlegame short,https://lichess.org/sUoFIFQT#23,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
00MTn,2rqk2r/3n4/1p2p3/p3N2p/Q1PP2p1/P2BP3/3K1Pb1/R6R w k - 0 22,h1h5 h8h5 d3g6 e8e7 a4d7 d8d7,1357,84,93,72,advantage hangingPiece long middlegame,https://lichess.org/VeIaO2t7#43,
00WzS,r2qk2r/2pn1p1n/pp1p2bp/3Pp1bB/PPP1P3/2N1B3/3N2PP/R2Q1RK1 w kq - 3 17,h5g6 g5e3 g1h1 f7g6,1483,76,89,473,advantage hangingPiece intermezzo middlegame short,https://lichess.org/pGUj7Dyu#33,St_George_Defense St_George_Defense_Other_variations
00ZAn,rnbqk1nr/ppp1b1pp/3p4/4p3/2B1P3/5N2/PPPP2PP/RNBQK2R w KQkq - 0 6,f3e5 d6e5 d1h5 g7g6 h5e5 g8f6,1790,75,87,153,advantage hangingPiece long opening,https://lichess.org/uS929Njx#11,Kings_Gambit Kings_Gambit_Other_variations
00hxr,r4rk1/pp3ppp/4p3/3pB1qB/Q1p5/2PbP3/PP1N1P1P/R3K2R w KQ - 0 15,e5g7 g5h5 a4d1 h5d1 a1d1 g8g7,1690,76,93,1538,advantage hangingPiece long middlegame,https://lichess.org/4QIugid6#29,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
00kS9,4r1k1/1ppbrpp1/7p/p2P4/3q1P2/P2B1P2/1P1Q2PP/3RR2K w - - 5 26,d3h7 g8h7 e1e7 d4d2 d1d2 e8e7,1534,76,90,693,advantage hangingPiece long middlegame,https://lichess.org/EqdCxWr9#51,
00lL3,Qr5k/5pp1/5N1p/4q3/4P3/8/7P/6RK w - - 6 36,g1a1 g7f6 a8b8 e5b8,1772,75,84,81,crushing endgame hangingPiece short,https://lichess.org/QUlxxlTc#71,
00pRN,r3r1k1/1p3p1p/p1pq2p1/3pNn2/3P2b1/1PPQ4/P1B2PPP/R3R1K1 b - - 3 27,f5g7 e5g4 e8e1 a1e1,1355,80,72,99,advantage hangingPiece middlegame short,https://lichess.org/2VmMkxXp/black#54,
00qIK,r4rk1/p3b1pp/1qB1bp2/1p2p3/2p2P2/3PR1P1/PPPN3P/R1BQ2K1 w - - 1 16,c6a8 b6e3 g1g2 f8a8,1569,77,86,1027,advantage hangingPiece intermezzo middlegame short,https://lichess.org/sFoTW7Rq#31,Kings_Indian_Attack Kings_Indian_Attack_Sicilian_Variation
00tbH,8/1q1r1k1p/p1p1p1p1/2p2pRn/Q1P2P1P/3PPP2/Pr1BK3/6R1 b - - 0 26,b2d2 e2d2 b7b2 a4c2,1264,115,83,16,advantage hangingPiece middlegame short,https://lichess.org/KnvUoTQB/black#52,
0125B,8/1p6/1Pr2P2/1Rp3K1/3p4/4k3/8/8 b - - 0 44,c6f6 g5f6 c5c4 b5e5,1770,81,92,1489,crushing endgame hangingPiece rookEndgame short,https://lichess.org/x10SD0Y1/black#88,
016yu,4r1k1/p5pp/1p3n2/5Q2/1q3B2/5P2/PP3P1P/2R3K1 w - - 5 24,f5d3 b4f4 d3c4 f4c4,1799,79,92,381,advantage endgame hangingPiece master short,https://lichess.org/VPxWNzzq#47,
01Amq,4r1k1/4Pp2/pQ3b1p/6pP/2p5/P4P2/5BPK/3q4 b - - 2 31,d1a4 b6f6 c4c3 f2d4 a4d4 f6d4,1663,75,96,5026,crushing endgame hangingPiece long,https://lichess.org/niewawqE/black#62,
01Az7,r1bq1rk1/pp1p1ppp/2n1pn2/4P3/2B5/2B5/PPP2PPP/R2QK1NR b KQ - 0 9,c6e5 c3e5 d8a5 e5c3,1376,86,86,51,advantage hangingPiece opening short,https://lichess.org/nMfMTSlO/black#18,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
01IKl,k1r4r/2Qn1p1p/1p1Bpnp1/q7/2BP4/2P5/1PK2P1P/3R2R1 w - - 5 29,c7c8 h8c8 d1a1 c8c4 a1a5 b6a5,1714,75,94,6185,advantage hangingPiece long middlegame,https://lichess.org/ehmsGMwl#57,
01M1X,4r3/4bpkp/3p2pN/4P1P1/1p2qn1P/5N2/1P1Q1P2/3R2K1 w - - 0 30,e5d6 e4f3 d2d4 f7f6,1770,75,93,4447,crushing hangingPiece middlegame short,https://lichess.org/7Ybap0Fs#59,
01Uzs,rnbqk2r/ppp2ppp/3bpn2/8/4P3/1BN5/PPPP2PP/R1BQK1NR b KQkq - 0 6,f6e4 c3e4 d8h4 e4f2,1754,75,94,331,advantage defensiveMove hangingPiece master opening short,https://lichess.org/miqEQghf/black#12,French_Defense French_Defense_Other_variations
01Wci,r2r2k1/5pp1/p3qb1p/1pp5/8/P1N1PQ2/1P1R1PPP/3R2K1 b - - 5 24,d8d2 f3a8 d2d8 d1d8,1423,99,79,73,crushing hangingPiece middlegame short,https://lichess.org/wqCMnBPi/black#48,
01Y2F,r3kb1r/pp1q1ppp/4p3/4Pn2/3pN3/2P4P/PP3RP1/R1BQ2K1 w kq - 0 15,f2f5 e6f5 e4d6 f8d6,1235,76,96,1581,advantage hangingPiece master middlegame short,https://lichess.org/jAxvVDSP#29,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
01Z2n,r6k/6p1/p6r/1p1Qp1q1/7n/2P1NP1b/PP3R1P/3RN2K b - - 0 33,g5e3 d5a8 h8h7 a8e4 e3e4 f3e4,1430,122,86,47,crushing hangingPiece long middlegame,https://lichess.org/bM3gsjxP/black#66,
01g9q,r2qr1k1/pp3ppp/2pb1nb1/3p4/3Pn1PN/2PBB2P/PPQN1P2/2KR3R b - - 2 14,e4f2 e3f2 g6d3 c2d3,1418,77,66,118,advantage hangingPiece middlegame short,https://lichess.org/OEjSdJcr/black#28,French_Defense French_Defense_Knight_Variation
01luV,r2qkbr1/pp2pp1p/2n2p2/3p3b/3P4/2PB1P2/PP2N1PP/RN1QK1R1 b Qq - 3 10,h5f3 g2f3 g8g1 e2g1,1462,92,71,53,advantage hangingPiece master opening short,https://lichess.org/e3v8isN9/black#20,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation
021U1,r7/bp6/4kNQ1/1b2Pp1p/p2R1P1N/P1q2K2/6PP/7R w - - 5 31,f3f2 a7d4,1496,75,97,6211,hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/fgXwKmjm#61,
021Ww,8/2kr2p1/5pP1/1p2pP2/pP1NPb2/P7/Q2p2Kr/3R4 w - - 1 42,g2f3 d7d4 a2f7 d4d7,1548,76,81,169,crushing endgame hangingPiece master short,https://lichess.org/KE8fuUBv#83,
021aU,7k/6pp/2R1p3/p4p2/Q2rq3/6P1/3K1P2/3R4 w - - 0 47,a4d4 e4d4 d2c1 d4a1,1498,78,90,700,advantage endgame hangingPiece short,https://lichess.org/GDL7tjwr#93,
00008,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,2037,77,95,9125,crushing hangingPiece long middlegame,https://lichess.org/787zsVup/black#48,
001aK,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2044,76,91,306,crushing endgame hangingPiece long quietMove,https://lichess.org/Epr0AiEh/black#66,
001u3,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2190,80,55,82,advantage hangingPiece middlegame short,https://lichess.org/BBn6ipaK/black#66,
004sg,6k1/p3b2p/1p1pP3/2p3P1/1Pnp3B/P6P/3Q3K/8 w - - 0 38,b4c5 c4d2 c5c6 d6d5 g5g6 e7d6,2419,80,90,1348,advantage clearance endgame hangingPiece long quietMove,https://lichess.org/pSRIvt7K#75,
0095W,8/pp1r2kp/q2P1ppb/4p3/2N1P3/1Q5P/PPR2PP1/6K1 w - - 3 32,c4e5 f6e5 c2c7 a6d6,1818,77,93,2288,advantage endgame hangingPiece short,https://lichess.org/CaL8Bl7F#63,
00IpT,r1bk3r/ppp1n2p/3pNQ2/8/2BpP2p/8/PPPq2PP/R5K1 b - - 2 21,d8d7 f6h8 d7c6 h8e8,2130,112,87,20,crushing hangingPiece middlegame short,https://lichess.org/pxYUaQJx/black#42,
00Ns0,r2qr1k1/pn1p2pp/bp3p2/2p1N3/2P5/1PB3Q1/P1P3PP/R4RK1 w - - 0 18,f1f6 d8f6 a1f1 f6h6 e5g4 h6g6 c3g7 e8e4 g4f6 g8g7,2610,105,84,71,advantage hangingPiece intermezzo middlegame veryLong,https://lichess.org/ZyKw24YE#35,Bishops_Opening Bishops_Opening_Vienna_Hybrid
00QQS,2r3k1/1p1q1ppp/4p3/Q7/3P4/P1B5/1Pr2PPP/R5K1 b - - 0 22,d7d4 c3d4 c2c1 a5e1,1828,167,43,18,advantage endgame hangingPiece short,https://lichess.org/tG606j71/black#44,
00XAG,1r1r2k1/p3ppb1/b3q1pp/2p5/2N5/1Q1RB3/P4PPP/2R1N1K1 b - - 0 21,b8b3 d3d8 g8h7 a2b3,1901,200,29,29,advantage hangingPiece intermezzo master middlegame short,https://lichess.org/cfhyIaNG/black#42,
00Xop,r2q1rk1/2p2nbp/1B1p2p1/4p1N1/4P1P1/1bN4P/PP1Q1P2/2KR3R w - - 0 18,b6c7 d8c7 a2b3 f7g5,2423,85,87,1359,crushing hangingPiece master middlegame short,https://lichess.org/Bw3qJ0LJ#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
00aZ3,8/6k1/1n6/1K2p1p1/P5P1/1B3r2/1PP5/8 b - - 1 36,b6d5 b3d5 f3f4 a4a5 e5e4 a5a6 e4e3 a6a7,2067,81,88,741,advancedPawn crushing endgame hangingPiece quietMove veryLong,https://lichess.org/0yMvFk5C/black#72,
00dTd,3r4/ppp1Q3/1b2kP2/8/4qp2/P1Pr4/1P3P2/1K2N3 b - - 5 31,e6d5 e7d8 d5c6 e1d3,2018,79,92,1003,advantage endgame hangingPiece short,https://lichess.org/UVi7iEcB/black#62,
00lJm,5r1k/ppp1nBp1/3pN3/7p/3P3P/2P2RK1/PP3QP1/1q5r b - - 6 26,f8f7 f3f7 b1d3 f2f3,2158,88,90,1853,advantage hangingPiece middlegame short,https://lichess.org/iXsE09XZ/black#52,
00mST,r4r2/ppk4p/n2N2p1/2p5/4Pb2/2P4P/PP2B2R/1K1R4 w - - 0 25,e4e5 f4h2 d6b5 c7b6 d1d6 b6a5 b5a3 f8f4,2494,77,61,103,crushing defensiveMove hangingPiece middlegame veryLong,https://lichess.org/TnR9jLpy#49,
00tN4,r3r1k1/pp3R2/3p1B1P/2pP1b2/1qn5/2N5/PP2QPP1/2K4R w - - 1 24,f7f8 g8f8 h6h7 f5h7,2042,80,74,44,crushing hangingPiece middlegame short,https://lichess.org/aynNRdBA#47,
00xyk,3r1rk1/1b1n1qn1/pp1Q2p1/2p3Pp/P1P1Pp1N/2P2B1P/5B1K/R4R2 b - - 1 25,d7e5 d6e5 d8e8 e5d6,1943,75,84,211,advantage hangingPiece middlegame short,https://lichess.org/tXpGxaU8/black#50,
01Dor,8/3k2P1/3Pb3/p1q2p2/1p6/1P4r1/P1P1Q3/1K1R4 w - - 1 39,e2e6 d7e6 d6d7 g3g2 g7g8b g2g8,2381,78,91,2973,crushing endgame hangingPiece long master,https://lichess.org/0MUqBgJG#77,
01E12,2k5/1pp1r1bQ/pr2p3/3p1p2/q2P4/P2NP3/1PP3PP/K3RR2 b - - 0 25,g7d4 h7e7 d4b2 d3b2,2021,82,92,1397,crushing hangingPiece middlegame short,https://lichess.org/H8ePJ8ba/black#50,
01aC9,1r2q1k1/b1p2p1p/p4p2/2Pp1b2/2nP4/P1N2PP1/1B1Q2BP/5RK1 w - - 0 25,d2f4 b8b2 f4f5 b2g2,2291,106,90,1285,crushing hangingPiece middlegame short,https://lichess.org/iY0xf1rb#49,
01cHu,4r1k1/2q1Ppp1/2pR1n2/p4NpP/8/PQ6/2P5/2K5 w - - 1 31,d6f6 g7f6 f5h6 g8h8 h6f7 h8g7 h5h6 g7g6,2638,84,93,175,advantage endgame hangingPiece veryLong,https://lichess.org/vjALO2rC#61,
01chU,1N4k1/7p/PR1n2r1/1b6/1P3R2/3p3r/1P4P1/4N1K1 w - - 0 45,e1d3 h3d3 a6a7 d3d1,1835,153,100,28,equality hangingPiece middlegame short,https://lichess.org/sEbtzZxR#89,
01eYJ,6rr/1p1k1p2/3b4/3p4/3q1P2/7P/2QB1RPK/RN6 w - - 2 32,b1c3 d4f2 c2f5 d7c7 c3d5 c7b8,2028,234,54,5,crushing defensiveMove hangingPiece long middlegame,https://lichess.org/QuzHPLQa#63,
01fsb,3q1rk1/1R3ppp/r5b1/p1bN4/6P1/5N1P/P1P2P2/3QR1K1 w - - 1 18,b7d7 d8d7 d5f6 a6f6 d1d7 f6f3,2042,76,94,2041,advantage hangingPiece long master middlegame,https://lichess.org/8n74QdMs#35,French_Defense French_Defense_Schlechter_Variation
01rfX,2r3k1/1b1nqpp1/3Qp2p/1Pp5/2N5/4P3/r3BPPP/1RR3K1 b - - 10 25,e7h4 d6d7 a2e2 d7b7,2081,120,86,16,crushing hangingPiece master middlegame short,https://lichess.org/uTUCvT9M/black#50,
01sGM,3q1r1k/6pp/4Qn2/8/3P1R2/5P2/r6P/2R1B2K b - - 0 32,a2h2 h1h2 d8b8 e1d2,2129,84,85,31,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/SJtPkORi/black#64,
01tei,8/8/8/1kr2P1R/8/6K1/8/8 w - - 0 52,f5f6 c5h5 g3g4 h5h8 g4f5 b5c6,2310,82,88,560,crushing defensiveMove endgame hangingPiece long quietMove rookEndgame,https://lichess.org/DlcVV8pm#103,
021eN,1rr5/R3p2p/3p2p1/4k3/3RP3/1pP1K3/1P4PP/8 b - - 6 35,c8c3 b2c3 b3b2 d4d1,2196,80,82,43,advantage endgame hangingPiece rookEndgame short,https://lichess.org/QYsuTjsb/black#70,
02370,3k3r/1Qp1bpp1/4b2p/3pN3/3q4/rP1B4/2P2PPP/1K1R2R1 w - - 0 28,e5f7 e6f7 b7b8 d8d7 d3b5 d7d6 b8c7 d6c7,1870,76,93,6793,crushing hangingPiece middlegame veryLong,https://lichess.org/V4R8EwiJ#55,
023RO,r1bq1rk1/pp1n2pp/2pb4/3pNp2/3PnB2/2NBP3/PP3PPP/R2Q1RK1 w - - 9 11,e5c6 b7c6 d3e4 d6f4,2087,124,88,36,advantage hangingPiece opening short,https://lichess.org/P7o6WbyA#21,Semi-Slav_Defense Semi-Slav_Defense_Accelerated_Move_Order
024AF,2r2r1k/3qbpp1/p6p/1p1ppPPn/3p3N/PB1P3P/1PPQ1P2/2KR3R w - - 1 20,g5h6 e7h4 h6g7 h8g7 d1g1 g7h7,2118,79,91,1189,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/O4qAL8Oj#39,
026sh,3r4/Qpk5/p1p2p2/8/3rb1Pp/5q1p/PP3P1B/2R1R1K1 b - - 0 32,c7d7 a7d4 e4d5 d4d5,2371,82,91,3738,advantage hangingPiece middlegame short,https://lichess.org/YZ6mzi2J/black#64,
02AGl,4Q1k1/pp4p1/4br1p/4N3/1P3q2/P7/6PP/2R4K b - - 1 29,f6f8 e8e6 g8h7 c1g1,2292,82,83,236,advantage defensiveMove endgame hangingPiece short,https://lichess.org/TjLwUaRU/black#58,
02BFi,8/7p/4k1p1/4B2n/p1Pp2P1/1p1K3P/1P3P2/8 w - - 0 35,g4h5 e6e5 h5g6 h7g6 h3h4 e5d6 f2f4 d6c5 f4f5 g6f5 h4h5 c5b4 d3d2 a4a3,2922,115,87,1022,crushing endgame hangingPiece veryLong,https://lichess.org/qbpzhXnP#69,
00F6y,2k3r1/ppp2prp/1q2b3/8/Q7/2P1R1P1/P4P1P/4R1K1 b - - 3 23,e6d7 e3e8 d7e8 e1e8 g8e8 a4e8,873,99,92,823,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/Hii0fRVd/black#46,
00GuD,1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25,e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q,1165,76,88,560,advancedPawn kingsideAttack long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/zcHeWRaO/black#50,
